{40, 5, 53, 11, 27, 11, 39, 51, 43}
{0, 4, 0, 5, 7, 8, 55, 49, 1}
{16, 21, 4, 48, 41, 24, 55, 20, 3}
{18, 26, 52, 8, 7, 60, 0, 18, 28}
{11, 57, 21, 57, 60, 27, 57, 4, 34}
{4, 0, 24, 8, 17, 46, 12, 6, 28}
{37, 2, 51, 42, 20, 16, 36, 30, 25}
{37, 33, 44, 4, 46, 42, 25, 42, 41}
{54, 40, 47, 28, 47, 48, 54, 55, 6}
{41, 6, 14, 9, 45, 16, 60, 29, 39}
{17, 4, 8, 42, 41, 43, 27, 47, 29}
{9, 14, 10, 50, 7, 53, 39, 37, 39}
{26, 31, 33, 32, 11, 41, 46, 22, 28}
{3, 23, 57, 44, 40, 2, 55, 24, 45}
{37, 51, 31, 5, 60, 47, 18, 52, 55}
{10, 30, 33, 49, 56, 5, 23, 29, 19}
{3, 16, 41, 31, 21, 4, 29, 5, 46}
{31, 1, 9, 15, 38, 2, 49, 46, 1}
{35, 3, 53, 31, 15, 24, 6, 3, 21}
{11, 26, 50, 30, 31, 7, 13, 4, 29}
{19, 33, 36, 6, 6, 37, 18, 23, 16}
{20, 13, 1, 21, 51, 6, 16, 23, 21}
{42, 29, 26, 3, 43, 54, 55, 14, 25}
{2, 27, 31, 33, 48, 5, 8, 55, 11}
{47, 14, 37, 2, 34, 52, 6, 57, 42}
{14, 14, 5, 36, 57, 34, 3, 60, 18}
{58, 54, 33, 22, 58, 1, 53, 30, 52}
{58, 38, 48, 11, 26, 1, 50, 29, 37}
{41, 37, 33, 23, 51, 50, 30, 28, 46}
{5, 32, 47, 24, 29, 42, 59, 53, 40}
{60, 47, 9, 53, 46, 50, 40, 57, 15}
{43, 48, 46, 19, 29, 24, 53, 54, 17}
{42, 23, 45, 29, 30, 16, 17, 54, 47}
{59, 54, 39, 38, 54, 27, 50, 48, 13}
{41, 28, 9, 58, 10, 60, 46, 30, 30}
{9, 24, 23, 26, 7, 48, 13, 38, 17}
{31, 55, 13, 18, 53, 6, 59, 33, 1}
{26, 24, 50, 39, 4, 19, 50, 3, 31}
{49, 49, 2, 20, 0, 26, 43, 28, 35}
{32, 43, 12, 52, 14, 6, 6, 34, 60}
{12, 32, 34, 16, 60, 58, 7, 38, 3}
{26, 30, 6, 59, 20, 58, 1, 41, 60}
{29, 25, 29, 4, 60, 12, 16, 51, 26}
{25, 59, 60, 26, 12, 33, 60, 28, 33}
{59, 37, 12, 1, 4, 42, 9, 3, 2}
{8, 4, 45, 7, 33, 9, 39, 39, 10}
{51, 58, 0, 18, 22, 0, 17, 48, 13}
{50, 49, 41, 24, 47, 18, 37, 50, 24}
{18, 59, 27, 22, 9, 31, 8, 16, 6}
{18, 55, 47, 28, 47, 44, 31, 4, 5}
{31, 23, 55, 46, 13, 45, 27, 39, 33}
{47, 15, 22, 10, 36, 23, 40, 60, 32}
{12, 8, 50, 18, 26, 47, 5, 56, 33}
{51, 28, 40, 59, 1, 2, 53, 47, 17}
{40, 15, 57, 12, 3, 13, 37, 16, 49}
{60, 56, 49, 33, 7, 57, 24, 28, 24}
{10, 35, 21, 46, 25, 50, 25, 23, 53}
{29, 18, 41, 47, 60, 57, 43, 11, 1}
{56, 48, 17, 47, 49, 14, 35, 23, 22}
{33, 48, 52, 57, 58, 26, 17, 45, 53}
{8, 11, 18, 2, 41, 38, 44, 27, 37}
{42, 11, 48, 43, 6, 38, 2, 55, 28}
{16, 29, 52, 40, 1, 39, 33, 58, 36}
{59, 17, 23, 54, 27, 34, 11, 30, 14}
{49, 13, 41, 25, 57, 52, 14, 41, 0}
{52, 43, 55, 20, 1, 26, 13, 43, 27}
{52, 16, 27, 29, 16, 46, 52, 9, 12}
{26, 20, 42, 42, 10, 57, 23, 37, 53}
{16, 52, 34, 16, 45, 18, 13, 6, 19}
{39, 19, 4, 7, 10, 20, 36, 40, 38}
{21, 33, 48, 34, 0, 9, 17, 43, 20}
{14, 5, 57, 6, 23, 50, 40, 42, 35}
{0, 55, 41, 19, 35, 0, 25, 44, 12}
{47, 20, 54, 25, 41, 27, 14, 16, 27}
{23, 34, 9, 45, 50, 16, 44, 56, 42}
{33, 38, 23, 9, 38, 19, 51, 59, 56}
{53, 24, 39, 4, 12, 59, 59, 37, 42}
{27, 51, 60, 56, 16, 35, 7, 0, 24}
{25, 46, 22, 6, 21, 60, 29, 30, 39}
{50, 22, 37, 45, 14, 2, 24, 21, 17}
{24, 21, 54, 7, 50, 47, 9, 45, 2}
{44, 52, 4, 10, 17, 51, 32, 23, 11}
{31, 55, 43, 11, 44, 5, 50, 31, 19}
{55, 57, 42, 11, 22, 4, 4, 30, 54}
{53, 39, 39, 55, 24, 30, 1, 34, 49}
{54, 5, 14, 4, 38, 8, 47, 49, 54}
{52, 39, 26, 13, 33, 22, 57, 44, 45}
{1, 50, 16, 55, 43, 55, 33, 39, 18}
{5, 42, 55, 56, 35, 60, 9, 39, 38}
{17, 28, 28, 13, 21, 8, 39, 36, 43}
{3, 35, 28, 48, 36, 18, 5, 32, 2}
{60, 7, 43, 19, 12, 25, 13, 7, 60}
{15, 17, 41, 55, 36, 10, 22, 51, 33}
{31, 30, 11, 15, 35, 46, 44, 24, 21}
{3, 29, 53, 5, 28, 60, 50, 49, 13}
{16, 4, 23, 18, 21, 42, 0, 15, 19}
{12, 37, 10, 45, 9, 42, 56, 25, 16}
{41, 10, 40, 3, 13, 8, 59, 20, 38}
{60, 9, 28, 13, 28, 34, 38, 46, 55}
{19, 46, 9, 38, 58, 49, 50, 44, 58}
